label,x_det,y_det,flux,area
1,587.2254130509682,10.464699321281179,1877.460205078125,14
2,103.53618625322312,21.44100760865518,1311.36474609375,12
3,300.9812424714202,34.17273047495521,1227.824462890625,10
4,402.4601731789232,60.33058551409355,2080.302734375,14
5,288.8828934339688,72.14500526225899,1509.5076904296875,11
6,525.033127451535,72.04956402559566,1119.8228759765625,9
7,239.0385110732686,100.16765131470943,1209.7984619140625,10
8,473.19491345451195,106.99883575309596,1406.6956787109375,10
9,238.8741807313058,116.0076534819053,1630.0037841796875,12
10,125.55632217336442,138.21018805243975,1993.8990478515625,14
11,499.11424825981976,141.40630932176583,1624.73486328125,13
12,88.413675703637,143.76069451797775,1920.606689453125,14
13,34.465880158461864,148.56093435204187,1435.01416015625,12
14,443.52245183555294,152.52695258116836,1364.66748046875,12
15,483.42947259503705,187.5870683342332,1828.58056640625,13
16,612.5691417745468,197.44608025962557,1382.9166259765625,12
17,434.64942370526626,210.50520184925247,2035.0877685546875,14
18,491.4982467841224,210.71081106588645,1858.967041015625,14
19,354.16324984432816,220.84725844941838,1418.3343505859375,11
20,228.8163448251221,226.51582480122542,1873.0946044921875,14
21,128.84871269900495,264.98443660577084,1725.7720947265625,12
22,149.01552157789297,266.54129523192324,1534.77392578125,12
23,299.2323197856122,267.5452501323103,1691.8292236328125,14
24,614.5678361987678,270.4567832140664,1428.8297119140625,12
25,46.98284207325266,272.01137948120913,1106.501708984375,9
26,494.32229590201126,302.69753831469535,1862.77783203125,13
27,304.74880882259794,315.4761032628109,1898.3538818359375,14
28,522.1133661050009,316.831913102798,1428.898681640625,11
29,481.6366833013118,318.48776291607305,2037.710205078125,14
30,87.18561008472277,325.01380516881215,1218.041015625,10
31,544.4910220612004,333.30702203776605,1971.6187744140625,14
32,284.53361032457184,335.5465621092956,1457.321044921875,12
33,566.0556649874248,363.49475662496525,2218.890625,16
34,149.3132125817499,370.71659608011106,1750.908447265625,13
35,426.34311930598295,372.3401609207971,1758.2794189453125,13
36,410.15787349040903,373.7003765879197,1541.29248046875,12
37,617.7882414737404,382.00642586520877,1171.43701171875,10
38,65.9848088955273,394.94370950890294,1062.0379638671875,9
39,281.7871442357184,395.009193193286,1373.634765625,10
40,210.98922290075345,404.7645619930533,1306.9307861328125,10
